timestamp_system,timestamp_relative,subject_id,session_id,module_name,block_id,difficulty_level,event_type,event_subtype,zone_or_task_area,expected_action,actual_action,correctness,reaction_time_ms,adapt_action,adapt_dimension,marker_code
2026-04-02T14:58:53.421,3.010,12,1,module_a,1,L1,marker,block_start,,,,,,none,none,400
2026-04-02T14:58:53.421,3.010,12,1,module_a,1,L1,marker,module_A_start,,,,,,none,none,200
2026-04-02T14:58:53.421,3.010,12,1,module_a,1,L1,marker,difficulty_level,,,L1,,,none,none,410
2026-04-02T14:58:56.692,6.281,12,1,module_a,1,L1,marker,A_target_alarm,动力/推进,space,,pending,,none,none,500
2026-04-02T14:58:56.692,6.281,12,1,module_a,1,L1,stimulus,target_alarm_onset,动力/推进,space,,pending,,none,none,500
2026-04-02T14:58:58.491,8.080,12,1,module_a,1,L1,marker,A_miss,动力/推进,space,,miss,,none,none,504
2026-04-02T14:58:58.491,8.080,12,1,module_a,1,L1,outcome,target_miss,动力/推进,space,,miss,,none,none,504
2026-04-02T14:59:01.587,11.176,12,1,module_a,1,L1,marker,A_target_alarm,动力/推进,space,,pending,,none,none,500
2026-04-02T14:59:01.587,11.176,12,1,module_a,1,L1,stimulus,target_alarm_onset,动力/推进,space,,pending,,none,none,500
2026-04-02T14:59:03.387,12.977,12,1,module_a,1,L1,marker,A_miss,动力/推进,space,,miss,,none,none,504
2026-04-02T14:59:03.387,12.976,12,1,module_a,1,L1,outcome,target_miss,动力/推进,space,,miss,,none,none,504
2026-04-02T14:59:06.811,16.400,12,1,module_a,1,L1,marker,A_target_alarm,动力/推进,space,,pending,,none,none,500
2026-04-02T14:59:06.811,16.400,12,1,module_a,1,L1,stimulus,target_alarm_onset,动力/推进,space,,pending,,none,none,500
2026-04-02T14:59:08.609,18.198,12,1,module_a,1,L1,marker,A_miss,动力/推进,space,,miss,,none,none,504
2026-04-02T14:59:08.609,18.198,12,1,module_a,1,L1,outcome,target_miss,动力/推进,space,,miss,,none,none,504
2026-04-02T14:59:11.845,21.434,12,1,module_a,1,L1,marker,A_target_alarm,动力/推进,space,,pending,,none,none,500
2026-04-02T14:59:11.845,21.434,12,1,module_a,1,L1,stimulus,target_alarm_onset,动力/推进,space,,pending,,none,none,500
2026-04-02T14:59:13.646,23.235,12,1,module_a,1,L1,marker,A_miss,动力/推进,space,,miss,,none,none,504
2026-04-02T14:59:13.646,23.235,12,1,module_a,1,L1,outcome,target_miss,动力/推进,space,,miss,,none,none,504
2026-04-02T14:59:16.627,26.216,12,1,module_a,1,L1,marker,A_noncritical,动力/推进,none,,pending,,none,none,502
2026-04-02T14:59:16.627,26.216,12,1,module_a,1,L1,stimulus,noncritical_onset,动力/推进,none,,pending,,none,none,502
2026-04-02T14:59:20.981,30.570,12,1,module_a,1,L1,marker,A_target_alarm,动力/推进,space,,pending,,none,none,500
