timestamp_system,timestamp_relative,subject_id,session_id,module_name,block_id,difficulty_level,event_type,event_subtype,zone_or_task_area,expected_action,actual_action,correctness,reaction_time_ms,adapt_action,adapt_dimension,marker_code
2026-04-02T15:58:28.693,3.013,12,1,module_a,1,L1,marker,block_start,,,,,,none,none,400
2026-04-02T15:58:28.703,3.022,12,1,module_a,1,L1,marker,module_A_start,,,,,,none,none,200
2026-04-02T15:58:28.703,3.023,12,1,module_a,1,L1,marker,difficulty_level,,,L1,,,none,none,410
2026-04-02T15:58:32.238,6.557,12,1,module_a,1,L1,marker,A_target_alarm,动力/推进,space,,pending,,none,none,500
2026-04-02T15:58:32.238,6.557,12,1,module_a,1,L1,stimulus,target_alarm_onset,动力/推进,space,,pending,,none,none,500
2026-04-02T15:58:34.038,8.357,12,1,module_a,1,L1,marker,A_miss,动力/推进,space,,miss,,none,none,504
2026-04-02T15:58:34.037,8.357,12,1,module_a,1,L1,outcome,target_miss,动力/推进,space,,miss,,none,none,504
2026-04-02T15:58:36.950,11.270,12,1,module_a,1,L1,marker,A_target_alarm,动力/推进,space,,pending,,none,none,500
2026-04-02T15:58:36.950,11.270,12,1,module_a,1,L1,stimulus,target_alarm_onset,动力/推进,space,,pending,,none,none,500
2026-04-02T15:58:38.748,13.068,12,1,module_a,1,L1,marker,A_miss,动力/推进,space,,miss,,none,none,504
2026-04-02T15:58:38.748,13.068,12,1,module_a,1,L1,outcome,target_miss,动力/推进,space,,miss,,none,none,504
2026-04-02T15:58:41.882,16.201,12,1,module_a,1,L1,marker,A_target_alarm,动力/推进,space,,pending,,none,none,500
2026-04-02T15:58:41.882,16.201,12,1,module_a,1,L1,stimulus,target_alarm_onset,动力/推进,space,,pending,,none,none,500
2026-04-02T15:58:43.681,18.001,12,1,module_a,1,L1,marker,A_miss,动力/推进,space,,miss,,none,none,504
2026-04-02T15:58:43.681,18.001,12,1,module_a,1,L1,outcome,target_miss,动力/推进,space,,miss,,none,none,504
2026-04-02T15:58:46.956,21.276,12,1,module_a,1,L1,marker,A_target_alarm,动力/推进,space,,pending,,none,none,500
2026-04-02T15:58:46.956,21.276,12,1,module_a,1,L1,stimulus,target_alarm_onset,动力/推进,space,,pending,,none,none,500
2026-04-02T15:58:48.758,23.078,12,1,module_a,1,L1,marker,A_miss,动力/推进,space,,miss,,none,none,504
2026-04-02T15:58:48.758,23.078,12,1,module_a,1,L1,outcome,target_miss,动力/推进,space,,miss,,none,none,504
2026-04-02T15:58:52.120,26.439,12,1,module_a,1,L1,marker,A_noncritical,动力/推进,none,,pending,,none,none,502
2026-04-02T15:58:52.120,26.439,12,1,module_a,1,L1,stimulus,noncritical_onset,动力/推进,none,,pending,,none,none,502
2026-04-02T15:58:56.844,31.163,12,1,module_a,1,L1,marker,A_target_alarm,动力/推进,space,,pending,,none,none,500
2026-04-02T15:58:56.844,31.163,12,1,module_a,1,L1,stimulus,target_alarm_onset,动力/推进,space,,pending,,none,none,500
2026-04-02T15:58:58.636,32.955,12,1,module_a,1,L1,marker,A_miss,动力/推进,space,,miss,,none,none,504
2026-04-02T15:58:58.636,32.955,12,1,module_a,1,L1,outcome,target_miss,动力/推进,space,,miss,,none,none,504
2026-04-02T15:59:01.401,35.720,12,1,module_a,1,L1,marker,A_target_alarm,动力/推进,space,,pending,,none,none,500
2026-04-02T15:59:01.401,35.720,12,1,module_a,1,L1,stimulus,target_alarm_onset,动力/推进,space,,pending,,none,none,500
2026-04-02T15:59:03.199,37.518,12,1,module_a,1,L1,marker,A_miss,动力/推进,space,,miss,,none,none,504
2026-04-02T15:59:03.199,37.518,12,1,module_a,1,L1,outcome,target_miss,动力/推进,space,,miss,,none,none,504
